"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 20:15:47 GMT 2024","Wed Jan 10 20:15:47 GMT 2024","360","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithAPasswordThatDoesNotContainSpecialCharacters","Create an account with a password that does not contain special characters return - 400",""
"passed","Wed Jan 10 20:15:42 GMT 2024","Wed Jan 10 20:15:45 GMT 2024","3807","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","newAccountRegistration","Registration of a new account return - 201",""
"passed","Wed Jan 10 20:15:47 GMT 2024","Wed Jan 10 20:15:47 GMT 2024","346","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankPassword","Create an account with blank password return - 400",""
"passed","Wed Jan 10 20:15:46 GMT 2024","Wed Jan 10 20:15:46 GMT 2024","381","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankUserName","Create an account with blank userName return - 400",""
"passed","Wed Jan 10 20:15:49 GMT 2024","Wed Jan 10 20:15:51 GMT 2024","1528","","bookstore.automation.api.tests.DeleteAccountTest","","bookstore.automation.api.tests.DeleteAccountTest","deletNonExistentUser","Delet non-existent user return code - 1207",""
"passed","Wed Jan 10 20:15:52 GMT 2024","Wed Jan 10 20:15:52 GMT 2024","671","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidPassword","Login with invalid password return - 400",""
"passed","Wed Jan 10 20:15:53 GMT 2024","Wed Jan 10 20:15:54 GMT 2024","692","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidUsername","Login with invalid username return - 400",""
"passed","Wed Jan 10 20:15:48 GMT 2024","Wed Jan 10 20:15:49 GMT 2024","1664","","bookstore.automation.api.tests.DeleteAccountTest","","bookstore.automation.api.tests.DeleteAccountTest","deleteAccount","Delete account return - 204",""
"passed","Wed Jan 10 20:15:45 GMT 2024","Wed Jan 10 20:15:46 GMT 2024","509","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithTheSameDataAsAnExistingAccount","Create an account with the same data as an existing account return - 400",""
"passed","Wed Jan 10 20:15:52 GMT 2024","Wed Jan 10 20:15:53 GMT 2024","832","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginSuccessfully","Login successfully return - 200",""
"passed","Wed Jan 10 20:15:46 GMT 2024","Wed Jan 10 20:15:47 GMT 2024","392","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankUsernameAndPassword","Create an account with blank username and password return - 400",""
"passed","Wed Jan 10 20:15:51 GMT 2024","Wed Jan 10 20:15:51 GMT 2024","409","","bookstore.automation.api.tests.BooksTest","","bookstore.automation.api.tests.BooksTest","accessAListOfAvailableBooks","Access a list of available books return - 200",""
"passed","Wed Jan 10 20:15:51 GMT 2024","Wed Jan 10 20:15:52 GMT 2024","662","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidUsernameAndPassword","Login with invalid username and password  return - 400",""
